,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,phase,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
85,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),835.65,50139,1568.8,94128,Skadi4,phase,test,test,,,,FALSE,,0.532662623,0.999989376,3,7834,0,2321,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14092,#7981f3,14080
86,Conceptofseeing_2023_11_16_PW_Skadi4(pilot),1029.85,61791,,,Skadi4,approach,no_approach,test,,,,TRUE,,0.656450191,0.656450191,3,7834,0,2321,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
87,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),0,0,568.6166667,34117,Frida3,phase,exploration,exploration,,,,FALSE,,0,0.31274464,3,7835,0,2320,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14086,#e6f379,14080
88,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),52.45,3147,54.66666667,3280,Frida3,latency_first_choice,visible,exploration,,,,FALSE,,0.028848005,0.030067193,3,7835,0,2320,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
89,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),54.66666667,3280,,,Frida3,choice,seen,exploration,,,,TRUE,,0.030067193,0.030067193,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
90,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),57.5,3450,,,Frida3,food_taken,seen,exploration,,,,TRUE,,0.031625553,0.031625553,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
91,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),157.8666667,9472,159.2333333,9554,Frida3,latency_first_choice,non_visible,exploration,,,,FALSE,,0.086828186,0.087579866,3,7835,0,2320,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
92,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),159.2333333,9554,,,Frida3,choice,unseen,exploration,,,,TRUE,,0.087579866,0.087579866,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
93,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),160.2666667,9616,,,Frida3,food_taken,unseen,exploration,,,,TRUE,,0.088148209,0.088148209,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
94,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),262.3,15738,263.95,15837,Frida3,latency_first_choice,visible,exploration,,,,FALSE,,0.144267525,0.145175041,3,7835,0,2320,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
95,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),263.95,15837,,,Frida3,choice,seen,exploration,,,,TRUE,,0.145175041,0.145175041,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
96,Conceptofseeing_2023_11_13_PW_Frida3_(Pilot),265.0333333,15902,,,Frida3,food_taken,seen,exploration,,,,TRUE,,0.145770884,0.145770884,3,7835,0,2320,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
